date,AAPL,AMZN,NFLX,MSFT
2002-06-13,1.211537,17.43,1.082857,17.393917
2002-06-14,1.246258,16.82,0.986429,17.724346
2002-06-17,1.27354,18.41,0.922143,17.862291
2002-06-18,1.249358,18.780001,0.910714,17.961735
2002-06-19,1.06149,18.299999,0.951429,17.438828
2002-06-20,1.06087,17.549999,0.957143,17.355423
2002-06-21,1.044749,17.530001,0.979286,16.771555
2002-06-24,1.07079,17.51,0.978571,17.374668
2002-06-25,1.06273,15.34,0.964286,16.98649
2002-06-26,1.026148,15.85,0.988571,17.365044
2002-06-27,1.05777,15.86,0.943571,17.618473
2002-06-28,1.098692,16.25,0.999286,17.547897
2002-07-01,1.05777,13.55,1.027857,16.893454
2002-07-02,1.05033,13.32,1.172857,16.502077
2002-07-03,1.088151,14.25,1.214286,16.630404
2002-07-05,1.161935,15.21,1.276429,17.596022
2002-07-08,1.116673,14.94,1.175714,16.976868
2002-07-09,1.086911,15.6,1.160714,17.069902
2002-07-10,1.07389,14.96,1.163571,16.75873
2002-07-11,1.134653,15.55,1.269286,16.973661
2002-07-12,1.085671,15.43,1.207857,16.636826
2002-07-15,1.130313,15.94,1.142857,16.617565
2002-07-16,1.107372,16.290001,1.126429,16.441128
2002-07-17,0.969106,16.16,1.089286,16.681732
2002-07-18,0.929423,15.55,1.149286,16.396212
2002-07-19,0.927564,15.29,1.16,15.898978
2002-07-22,0.925083,15.5,1.170714,15.241331
2002-07-23,0.897182,14.55,1.146429,13.797716
2002-07-24,0.942444,14.1,1.114286,14.830701
2002-07-25,0.890362,12.49,1.036429,13.739975
2002-07-26,0.889122,12.93,0.871429,14.548401
2002-07-29,0.931284,14.33,0.876429,15.478724
2002-07-30,0.956705,14.77,0.914286,15.430601
2002-07-31,0.946164,14.45,0.953571,15.392109
2002-08-01,0.917643,14.16,0.891429,14.676713
2002-08-02,0.895942,13.84,0.777857,14.246839
2002-08-05,0.867421,12.87,0.775,14.112103
2002-08-06,0.913923,13.74,0.760714,14.651058
2002-08-07,0.931904,13.6,0.793571,15.106588
2002-08-08,0.948645,13.9,0.796429,15.69045
2002-08-09,0.930044,14.26,0.787143,15.437018
2002-08-12,0.929423,14.46,0.757143,15.549295
2002-08-13,0.904622,13.93,0.772857,15.096962
2002-08-14,0.940584,13.91,0.833571,15.947096
2002-08-15,0.967865,14.62,0.882857,15.96634
2002-08-16,0.980266,14.9,0.912857,16.040127
2002-08-19,0.990807,15.5,0.982143,16.681732
2002-08-20,0.986466,15.98,0.946429,16.373766
2002-08-21,0.999487,15.38,0.968571,16.771555
2002-08-22,0.990186,15.73,0.983571,17.076317
2002-08-23,0.975306,15.17,0.993571,16.752316
2002-08-26,0.962906,14.93,0.967857,16.713806
2002-08-27,0.920743,14.52,0.873571,16.309603
2002-08-28,0.911443,14.57,0.864286,15.841228
2002-08-29,0.911443,15.14,0.903571,16.226194
2002-08-30,0.914543,14.94,0.936429,15.744993
2002-09-03,0.871141,14.6,0.925,15.084132
2002-09-04,0.897802,14.83,0.928571,15.465894
2002-09-05,0.879201,14.25,0.917857,14.728045
2002-09-06,0.891602,15.31,0.914286,15.340781
2002-09-09,0.890982,16.51,0.901429,15.623084
2002-09-10,0.888502,17.129999,0.945,15.972756
2002-09-11,0.886022,17.110001,0.961429,15.584591
2002-09-12,0.876721,16.75,0.925,15.12584
2002-09-13,0.878581,16.610001,0.878571,15.369648
2002-09-16,0.899042,16.709999,0.857143,15.327947
2002-09-17,0.917643,17.35,0.83,15.170756
2002-09-18,0.931284,17.73,0.787857,15.318323
2002-09-19,0.904003,17.209999,0.724286,15.141886
2002-09-20,0.921983,15.86,0.707857,15.225286
2002-09-23,0.920743,16.049999,0.711429,14.509901
2002-09-24,0.907722,15.93,0.717857,14.641424
2002-09-25,0.925704,15.73,0.732143,14.920528
2002-09-26,0.911443,17.15,0.782857,14.821074
2002-09-27,0.912683,17.01,0.72,14.516312
2002-09-30,0.899042,15.93,0.692857,14.031905
2002-10-01,0.899662,16.950001,0.678571,14.830701
2002-10-02,0.878581,17.01,0.578571,14.631806
2002-10-03,0.886642,16.75,0.517857,14.37195
2002-10-04,0.869901,16.549999,0.468571,14.041528
2002-10-07,0.85378,16.639999,0.412143,14.131355
2002-10-08,0.8482,16.940001,0.405,14.432905
2002-10-09,0.84262,16.860001,0.372857,14.112103
2002-10-10,0.874861,17.959999,0.506429,14.878819
2002-10-11,0.899662,18.459999,0.470714,15.677615
2002-10-14,0.915783,19.200001,0.534286,15.812351
2002-10-15,0.939964,18.940001,0.55,16.774775
2002-10-16,0.902763,19.49,0.459286,16.171656
2002-10-17,0.874861,18.74,0.55,16.287148
2002-10-18,0.889122,19.040001,0.682857,17.050653
2002-10-21,0.902763,19.26,0.636429,16.845341
2002-10-22,0.911443,19.379999,0.625,16.575869
2002-10-23,0.922604,19.75,0.589286,17.066694
2002-10-24,0.910823,19.860001,0.579286,16.43471
2002-10-25,0.956085,19.299999,0.642857,16.899872
2002-10-28,0.967865,18.59,0.685714,16.665699
2002-10-29,0.957325,18.57,0.657143,16.704185
2002-10-30,0.990807,19.08,0.641429,17.037821
2002-10-31,0.996387,19.360001,0.640714,17.153318
2002-11-01,1.014368,19.799999,0.638571,17.002535
2002-11-04,1.047229,18.780001,0.671429,17.997021
2002-11-05,1.047849,18.719999,0.651429,18.18309
2002-11-06,1.06769,19.34,0.629286,18.29537
2002-11-07,0.992047,19.120001,0.592857,17.968145
2002-11-08,0.982126,19.51,0.610714,17.676214
2002-11-11,0.939964,19,0.600714,17.278429
2002-11-12,0.969726,19.82,0.577857,17.48695
2002-11-13,0.966625,20.41,0.641429,17.759636
2002-11-14,1.010648,21.209999,0.618571,18.282536
2002-11-15,0.988946,22.209999,0.65,18.186298
2002-11-18,0.970346,22.42,0.778571,17.916821
2002-11-19,0.946784,21.290001,0.664286,17.599224
2002-11-20,0.962906,22.9,0.717143,18.163839
2002-11-21,1.013748,23.4,0.785714,18.555223
2002-11-22,0.992667,23.99,0.786429,18.677128
2002-11-25,0.990186,24.25,0.792857,18.680334
2002-11-26,0.955465,23.4,0.749286,18.253668
2002-11-27,0.974686,24.08,0.751429,18.632204
2002-11-29,0.961045,23.35,0.775,18.503889
2002-12-02,0.941204,24.110001,0.761429,18.507103
2002-12-03,0.939964,23.74,0.770714,18.192715
2002-12-04,0.928184,23.389999,0.71,18.138176
2002-12-05,0.907103,22.58,0.785714,17.75321
2002-12-06,0.926944,22.610001,0.782143,17.79492
2002-12-09,0.914543,21.68,0.799286,17.172562
2002-12-10,0.947405,21.860001,0.871429,17.32655
2002-12-11,0.960425,22.129999,0.897143,17.535069
2002-12-12,0.941824,22.299999,0.900714,17.377876
2002-12-13,0.917023,22.18,0.892857,16.842127
2002-12-16,0.920743,22.51,0.913571,17.477324
2002-12-17,0.935004,22.459999,0.906429,17.438828
2002-12-18,0.903383,22.1,0.785,17.172562
2002-12-19,0.880441,21.690001,0.771429,17.037821
2002-12-20,0.876721,21.93,0.764286,17.015371
2002-12-23,0.898422,22.24,0.732143,17.323334
2002-12-24,0.890362,21.879999,0.707143,17.265598
2002-12-26,0.892842,20.299999,0.696429,17.127651
2002-12-27,0.871761,18.860001,0.690714,16.992907
2002-12-30,0.872381,19.25,0.713571,16.922331
2002-12-31,0.888502,18.889999,0.786429,16.585497
2003-01-02,0.917643,19.57,0.817857,17.233517
2003-01-03,0.923844,20.52,0.772857,17.255974
2003-01-06,0.923844,20.700001,0.792857,17.570358
2003-01-07,0.920743,21.549999,0.783571,17.900787
2003-01-08,0.902143,21.02,0.815,17.40033
2003-01-09,0.910203,21.450001,0.838571,17.903992
2003-01-10,0.912683,21.32,0.886429,17.939278
2003-01-13,0.907103,22.040001,0.867143,18.09005
2003-01-14,0.905863,22.74,0.86,18.276123
2003-01-15,0.894702,22.27,0.871429,18.051559
2003-01-16,0.906483,21.799999,0.857143,17.756416
2003-01-17,0.874241,21.4,0.817143,16.508495
2003-01-21,0.869281,21.08,0.814286,16.466795
2003-01-22,0.8606,21.17,0.828571,16.360928
2003-01-23,0.878581,21.790001,0.87,16.771555
2003-01-24,0.85564,22.110001,0.880714,15.992008
2003-01-27,0.876101,21.780001,0.877143,15.773853
2003-01-28,0.904003,21.620001,0.896429,15.66158
2003-01-29,0.925704,22.08,0.881429,16.011261
2003-01-30,0.887882,21.82,0.902143,15.475515
2003-01-31,0.890362,21.85,0.942857,15.225286
2003-02-03,0.908963,22.16,0.914286,15.578171
2003-02-04,0.905243,22.049999,0.878571,15.180373
2003-02-05,0.895942,22.17,0.852857,15.064885
2003-02-06,0.894702,22.09,0.832143,15.212461
2003-02-07,0.877341,21.440001,0.87,14.94298
2003-02-10,0.889742,21.4,0.890714,15.199628
2003-02-11,0.889742,20.780001,0.927143,14.898069
2003-02-12,0.892222,21.129999,0.948571,14.898069
2003-02-13,0.901522,20.059999,0.944286,15.074518
2003-02-14,0.909583,20.059999,1.017143,15.49476
2003-02-18,0.946784,21.389999,1.047143,16.01446
2003-02-19,0.920743,21.190001,1.081429,15.789182
2003-02-20,0.915783,21.360001,1.098571,15.538144
2003-02-21,0.930044,21.780001,1.064286,15.853553
2003-02-24,0.913923,21.780001,1.002857,15.49309
2003-02-25,0.931284,21.879999,1.046429,15.57033
2003-02-26,0.899042,21.639999,1.039286,15.197001
2003-02-27,0.921363,21.620001,1.178571,15.177693
